ID,CODE,ALIAS,STORE,TYPE_90,X_COOR,Y_COOR,TYPE_99
59,I0100001,麥當勞(台北公園),MIC,4,301321.42,2771018.79,3
120,I0100001,麥當勞(台北慶城),MIC,3,304155.47,2771923.38,3
6114,I0100001,麥當勞(台北101店),MIC,2,306127.82,2770143.04,4
6977,I0100002,肯德基(台北中崙店),KFC,4,303912.79,2771302.94,3
6995,I0100002,肯德基(大直愛買店),KFC,2,305274.89,2775086.70,5
7025,I0100002,肯德基(台北東湖二店),KFC,2,311346.27,2773670.49,3
7030,I0100001,麥當勞(舊宗),MIC,4,307521.43,2772862.79,1
7038,I0100002,肯德基(台北興隆店),KFC,4,305440.78,2766003.91,4
7052,I0100002,肯德基(北投光明店),KFC,1,300010.28,2781205.23,4
7061,I0100001,麥當勞(民權東),MIC,3,304267.45,2772942.79,5
7089,I0100002,肯德基(台北八德店),KFC,4,307409.02,2771670.55,3
7091,I0100002,肯德基(台北中山北店),KFC,2,301955.92,2772726.14,2
7093,I0100002,肯德基(台北仁愛店),KFC,3,305415.52,2770231.35,4
7094,I0100002,肯德基(台北內湖店),KFC,1,306148.13,2775230.55,5
7096,I0100002,肯德基(台北天母店),KFC,1,302703.81,2779160.46,4
7097,I0100002,肯德基(台北士林店),KFC,3,302225.45,2775755.50,4
7098,I0100002,肯德基(台北信義(二)店),KFC,2,306076.93,2769877.57,4
7101,I0100001,麥當勞(民生東),MIC,4,304507.47,2772528.62,2
7104,I0100002,肯德基(台北成都店),KFC,1,300088.55,2770866.97,2
7107,I0100002,肯德基(台北三越店),KFC,4,301167.88,2771202.78,5
7108,I0100002,肯德基(台北承德店),KFC,4,301316.73,2771709.78,4
7111,I0100002,肯德基(台北中山店),KFC,2,304019.79,2771814.18,4
7112,I0100002,肯德基(台北南京東店),KFC,4,305809.44,2771777.42,5
7116,I0100002,肯德基(台北峨嵋店),KFC,4,300343.48,2770883.45,4
7117,I0100002,肯德基(台北台大店),KFC,4,302977.88,2767991.86,4
7118,I0100002,肯德基(台北漢口店),KFC,2,300983.30,2771076.76,2
7593,I0100001,麥當勞(新生南),MIC,1,303001.41,2768090.11,3
7597,I0100001,麥當勞(士林中正),MIC,2,302032.27,2776578.59,4
7598,I0100001,麥當勞(士林),MIC,3,302440.98,2776727.70,5
7599,I0100001,麥當勞(士林基河),MIC,1,302082.74,2775735.01,1
7600,I0100001,麥當勞(天母),MIC,1,302508.21,2779216.68,2
7601,I0100001,麥當勞(台北德行),MIC,2,302933.27,2778220.43,4
7602,I0100001,麥當勞(重北一),MIC,4,300819.97,2775219.72,5
7603,I0100001,麥當勞(高島屋),MIC,1,302767.30,2778474.35,3
7604,I0100001,麥當勞(陽明山),MIC,3,304290.79,2781353.77,1
7605,I0100001,麥當勞(台北承德),MIC,2,301307.94,2771689.59,4
7606,I0100001,麥當勞(民生三),MIC,2,301673.25,2772479.79,1
7607,I0100001,麥當勞(重北二),MIC,4,301032.78,2774007.36,2
7608,I0100001,麥當勞(台北光復),MIC,2,305423.16,2770479.28,4
7609,I0100001,麥當勞(台北信義),MIC,4,305130.44,2769797.86,1
7610,I0100001,麥當勞(台北建國),MIC,3,303613.50,2769265.56,2
7611,I0100001,麥當勞(台北敦南),MIC,2,304466.21,2769202.93,5
7612,I0100001,麥當勞(台北麟光),MIC,3,305490.02,2768131.95,3
7613,I0100001,麥當勞(忠孝五),MIC,2,304371.45,2770722.35,5
7614,I0100001,麥當勞(忠孝六),MIC,2,305041.89,2770664.03,5
7615,I0100001,麥當勞(崇光),MIC,2,304154.66,2770735.62,3
7616,I0100001,麥當勞(復興二),MIC,2,304036.03,2768935.61,2
7617,I0100001,麥當勞(羅斯福),MIC,2,301885.92,2769132.64,4
7618,I0100001,麥當勞(台北中山),MIC,3,301891.91,2773187.23,3
7619,I0100001,麥當勞(台北北安),MIC,2,304563.67,2775256.85,1
7620,I0100001,麥當勞(台北民權二),MIC,3,302691.70,2773041.06,3
7621,I0100001,麥當勞(台北南京四),MIC,4,302728.47,2771832.70,5
7622,I0100001,麥當勞(台北南京西),MIC,1,301701.55,2771936.11,1
7623,I0100001,麥當勞(民權三),MIC,2,301632.02,2773023.54,5
7624,I0100001,麥當勞(林森一),MIC,1,302205.06,2771836.76,1
7625,I0100001,麥當勞(林森三),MIC,3,302211.55,2772707.25,3
7626,I0100001,麥當勞(長春),MIC,2,303034.80,2772149.41,2
7627,I0100001,麥當勞(台北公園),MIC,2,301320.57,2770989.94,4
7628,I0100001,麥當勞(台北南昌),MIC,1,301512.64,2769343.92,2
7629,I0100001,麥當勞(台北新光站前),MIC,1,301167.88,2771202.78,1
7630,I0100001,麥當勞(台北館前),MIC,3,301128.39,2771157.92,3
7631,I0100001,麥當勞(台北濟南),MIC,4,302892.37,2770530.65,1
7632,I0100001,麥當勞(林森二),MIC,3,301984.42,2771004.07,3
7633,I0100001,麥當勞(遠東寶慶),MIC,2,300545.91,2770695.69,3
7634,I0100001,麥當勞(內湖成功二),MIC,2,309070.40,2775358.35,4
7635,I0100001,麥當勞(台北內湖),MIC,2,307523.61,2774857.17,5
7636,I0100001,麥當勞(台北西湖),MIC,4,306281.03,2775234.61,5
7637,I0100001,麥當勞(台北康寧),MIC,3,310895.03,2773812.92,5
7638,I0100001,麥當勞(台北木柵),MIC,2,306358.45,2764843.56,1
7639,I0100001,麥當勞(台北木新),MIC,4,305773.69,2764091.29,3
7640,I0100001,麥當勞(台北考試院),MIC,2,304718.68,2764723.07,1
7641,I0100001,麥當勞(台北指南),MIC,3,307191.04,2764769.72,2
7642,I0100001,麥當勞(台北動物園),MIC,4,307549.47,2765813.53,2
7643,I0100001,麥當勞(台北興隆),MIC,1,305282.77,2766111.15,4
7644,I0100001,麥當勞(景美),MIC,4,303890.42,2765234.60,2
7645,I0100001,麥當勞(台北大業),MIC,1,299429.55,2780597.03,4
7646,I0100001,麥當勞(台北中央),MIC,2,296370.11,2780262.07,4
7647,I0100001,麥當勞(台北北投),MIC,3,300021.13,2781170.39,5
7648,I0100001,麥當勞(台北石牌),MIC,4,301349.82,2779140.64,2
7649,I0100001,麥當勞(台北承德II),MIC,1,300196.04,2778929.20,2
7650,I0100001,麥當勞(台北八德),MIC,2,305214.17,2771406.97,2
7651,I0100001,麥當勞(台北小巨蛋),MIC,3,304743.15,2771796.21,4
7652,I0100001,麥當勞(台北民生二),MIC,4,306286.32,2772630.92,5
7653,I0100001,麥當勞(台北南京二),MIC,4,305985.86,2771771.83,3
7654,I0100001,麥當勞(環亞),MIC,3,304463.81,2771849.77,1
7655,I0100001,麥當勞(台北101),MIC,1,306076.93,2769877.57,1
7656,I0100001,麥當勞(台北三興),MIC,1,305463.15,2769382.99,5
7657,I0100001,麥當勞(台北紐約),MIC,4,306290.65,2770053.82,4
7658,I0100001,麥當勞(台北莊敬),MIC,3,306506.87,2769077.15,2
7659,I0100001,麥當勞(忠孝二),MIC,3,306843.58,2770663.56,2
7660,I0100001,麥當勞(忠孝四),MIC,4,307616.65,2770685.63,1
7661,I0100001,麥當勞(新光信義),MIC,2,306367.82,2770402.53,3
7662,I0100001,麥當勞(台北南港),MIC,2,310293.42,2772138.07,1
7663,I0100001,麥當勞(台北研究院),MIC,2,311377.00,2771910.30,3
7664,I0100001,麥當勞(忠孝八),MIC,3,309068.24,2771672.39,5
7665,I0100001,麥當勞(台北西園二),MIC,1,299129.14,2769201.71,3
7666,I0100001,麥當勞(台北漢中),MIC,4,300354.20,2770944.42,2
7667,I0100001,麥當勞(昆明),MIC,4,300156.66,2771051.50,1
